city,lat,lon,date,temp,temp,temp,prob_rain,volume_rain,volume_rain,volume_rain,wind_speed,perc_cloud,score_temp,score_rain_prob,score_rain_vol,score_wind,score_cloud,total_score
,,,,mean,min,max,max,mean,max,sum,max,mean,,,,,,
Le Havre,49.4938975,0.1079732,2026-08-17,20.1225,19.66,20.88,0.0,0.0,0.0,0.0,21.744,77.25,83.52,100.0,100.0,78.256,22.75,85.1566
Le Havre,49.4938975,0.1079732,2026-08-18,20.11,19.23,21.42,20.0,0.01875,0.15,0.15,25.992,63.125,85.68,80.0,99.25,74.008,36.875,82.5673
Le Havre,49.4938975,0.1079732,2026-08-19,19.14125,17.94,20.03,77.0,0.08625,0.69,0.69,30.96,49.125,80.12,23.0,96.55,69.03999999999999,50.875,69.5925
Le Havre,49.4938975,0.1079732,2026-08-20,18.5425,17.6,19.94,86.0,0.21375,0.67,1.71,37.943999999999996,53.75,79.76,14.0,91.45,62.056000000000004,46.25,64.9936
Le Havre,49.4938975,0.1079732,2026-08-21,17.6425,17.3,18.04,25.0,0.11499999999999999,0.18,0.45999999999999996,32.076,28.0,72.16,75.0,97.7,67.924,72.0,79.9504
Lille,50.6365654,3.0635282,2026-08-16,24.1925,21.01,25.54,0.0,0.0,0.0,0.0,18.503999999999998,69.0,97.84,100.0,100.0,81.49600000000001,31.0,90.6016
Lille,50.6365654,3.0635282,2026-08-17,21.37,17.01,26.79,26.0,0.0325,0.26,0.26,16.776,98.5,92.84,74.0,98.7,83.224,1.5,80.73440000000001
Lille,50.6365654,3.0635282,2026-08-18,20.56625,18.72,23.21,0.0,0.0,0.0,0.0,22.68,88.625,92.84,100.0,100.0,77.32,11.375,86.7215
Lille,50.6365654,3.0635282,2026-08-19,20.088749999999997,16.31,24.68,83.0,0.11249999999999999,0.7,0.8999999999999999,30.204000000000004,69.75,98.72,17.0,95.5,69.79599999999999,30.25,71.67060000000001
Lille,50.6365654,3.0635282,2026-08-20,18.06375,14.18,21.92,0.0,0.0,0.0,0.0,28.8,34.0,87.68,100.0,100.0,71.2,66.0,90.024
Lille,50.6365654,3.0635282,2026-08-21,15.395,14.19,17.18,100.0,0.36,1.08,1.44,17.136,14.0,68.72,0.0,92.8,82.864,86.0,65.3424
Lyon,45.7578137,4.8320114,2026-08-16,29.1825,24.51,33.07,0.0,0.0,0.0,0.0,17.208000000000002,77.0,67.72,100.0,100.0,82.792,23.0,80.8952
Lyon,45.7578137,4.8320114,2026-08-17,26.65875,22.24,33.63,0.0,0.0,0.0,0.0,17.496000000000002,87.75,65.47999999999999,100.0,100.0,82.50399999999999,12.25,79.11939999999998
Lyon,45.7578137,4.8320114,2026-08-18,26.92625,21.48,33.74,0.0,0.0,0.0,0.0,14.04,48.0,65.03999999999999,100.0,100.0,85.96000000000001,52.0,83.308
Lyon,45.7578137,4.8320114,2026-08-19,27.65375,22.06,34.83,0.0,0.0,0.0,0.0,16.344,23.75,60.68000000000001,100.0,100.0,83.656,76.25,84.19460000000001
Lyon,45.7578137,4.8320114,2026-08-20,24.41875,20.14,31.23,98.0,0.175,0.95,1.4,7.2,89.0,75.08,2.0,93.0,92.8,11.0,61.204
Lyon,45.7578137,4.8320114,2026-08-21,19.895,17.9,22.96,0.0,0.0,0.0,0.0,10.584,31.25,91.84,100.0,100.0,89.416,68.75,93.36859999999999
Marseille,43.2963986,5.3777888,2026-08-16,30.3475,25.66,33.7,0.0,0.0,0.0,0.0,17.496000000000002,8.5,65.19999999999999,100.0,100.0,82.50399999999999,91.5,86.9604
Marseille,43.2963986,5.3777888,2026-08-17,29.505000000000003,22.82,36.9,0.0,0.0,0.0,0.0,34.992000000000004,61.75,52.400000000000006,100.0,100.0,65.008,38.25,76.0458
